album_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo
#NEWGOREORDER,0.565,0.934,-1.576,0.0613,0.00361,2.29e-06,0.634,139.941
#NOFILTER,0.45166666666666666,0.8306666666666667,-5.978333333333333,0.077,0.3176666666666667,2.5566666666666666e-06,0.5993333333333334,126.259
#PROUDCATOWNERREMIX,0.783,0.522,-6.229,0.39,0.0287,4.13e-05,0.235,145.127
#PlasticFreeParty,0.7646,0.8855999999999999,-6.8272,0.05846,0.0007068,0.5508,0.11398,125.39020000000001
#REIDOPISEIRO: 2020.1,0.7396666666666666,0.7016666666666667,-5.2973333333333334,0.05216666666666667,0.48166666666666663,0.00022666666666666668,0.9376666666666665,152.00866666666664
#RICCHISSIMI,0.711,0.899,-6.159,0.0429,0.495,0.0,0.901,125.962
#Schlager 2,0.7701666666666668,0.7963333333333332,-5.977,0.06718333333333333,0.04886666666666667,0.00013623333333333333,0.5511666666666667,123.69833333333332
#Somosmaneva,0.7399999999999999,0.642,-5.887,0.11,0.48900000000000005,2.9400000000000002e-06,0.9250000000000002,167.975
#TRAXTORM20Y,0.477,0.9495,-5.568,0.385,0.19535,0.275285,0.19975,166.4895
#Vamo Cantar,0.55175,0.6455,-8.7025,0.037,0.65575,1.325e-05,0.8055,137.41125
#YoEstuveAllí,0.468,0.765,-7.058,0.0391,0.058,0.0,0.371,155.93
#hot16challenge2,0.901,0.535,-8.9885,0.2575,0.12775,1.115e-06,0.58,135.05599999999998
"#mindfulness - Soft Rain for Mindful Meditation, Stress Relief Relaxation Music",0.16275,0.1979,-20.536250000000003,0.042874999999999996,0.7955,0.86925,0.0459,95.55975000000001
#osnrap,0.6692,0.697,-4.4314,0.06826,0.537,0.0,0.5224,99.978
#前に進む唄,0.4595,0.9565,-2.3689999999999998,0.0706,0.02026,2.125e-05,0.642,115.437
$ad Boy,0.539,0.47,-10.013,0.389,0.868,0.0,0.805,177.087
$ave Dat Money,0.935,0.689,-7.993,0.285,0.00907,1.35e-05,0.808,139.913
$tars and I feel alone,0.567,0.214,-18.41,0.444,0.86,8.69e-05,0.56,86.251
&,0.513,0.318,-10.451,0.0314,0.796,0.0,0.249,81.923
&DNA,0.513,0.7989999999999999,-3.3114999999999997,0.033299999999999996,0.07293949999999999,0.0039255,0.49750000000000005,154.906
'BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL - Live,0.563,0.902,-4.634,0.194,0.0184,5.2e-06,0.364,139.939
'Hop Stomp',0.679,0.761,-6.574,0.0328,0.495,0.000281,0.778,120.039
'Más allá de la Luna',0.318,0.40249999999999997,-7.816000000000001,0.0307,0.9430000000000001,0.0015243,0.4105,100.74650000000001
'Til the End,0.496,0.7835000000000001,-3.54,0.0519,0.43200000000000005,0.02635,0.16649999999999998,159.916
*〜アスタリスク〜,0.57,0.931,-3.983,0.0408,0.026,0.000211,0.677,127.988
+,0.561,0.666,-4.243,0.0322,0.106,0.0,0.675,160.019
+ AR,0.612,0.539,-8.83,0.026433333333333333,0.725,1.12e-05,0.3983333333333334,106.356
+ Es +,0.348,0.536,-5.76,0.0313,0.34,0.0,0.199,150.586
+8138,0.677,0.946,-9.972,0.0516,0.000187,0.875,0.388,132.0
+DOME,0.711,0.613,-13.991,0.0541,0.539,0.259,0.354,135.008
+Positivo+,0.5355,0.7195,-6.551,0.0356,0.6074999999999999,0.0,0.5825,148.8985
", Vol. 3",0.819,0.223,-10.131,0.383,0.961,0.00935,0.678,138.764
- Det' Ikke Så Svært...,0.7215,0.4145,-14.6645,0.03,0.13705,0.00275,0.64,131.205
-77.82x-78.29,0.477,0.85,-1.486,0.0911,0.00108,0.0,0.601,163.845
-998,0.808,0.314,-10.28,0.118,0.0213,0.919,0.549,124.006
... and Stuff,0.5824285714285714,0.8777142857142858,-6.302428571428571,0.1089,0.017671857142857145,0.022666795714285714,0.5532857142857143,130.01385714285715
"...""Let Me Sing""",0.43300000000000005,0.2415,-11.1085,0.02805,0.7635,9.85e-05,0.401,134.446
...An Education In Rebellion,0.53,0.8680000000000001,-5.3225,0.07695,0.009485,0.00924815,0.605,116.4225
...And Justice For All,0.437,0.695,-9.447,0.0617,0.00111,0.0857,0.413,102.178
...And Then There Was Timo,0.585,0.232,-10.912,0.0287,0.866,0.0,0.12,135.878
...And Then There Was X,0.51,0.931,-3.302,0.347,0.0738,0.0,0.53,201.936
"...And as We Have Seen the Storm, We Have Embraced the Eye",0.199,0.953,-6.771,0.126,4.24e-05,0.745,0.136,151.273
...And the Beat Goes On!,0.45999999999999996,0.979,-6.822,0.14800000000000002,0.058499999999999996,0.48550000000000004,0.1835,159.24599999999998
...I Care Because You Do,0.792,0.599,-13.647,0.141,0.316,0.931,0.57,93.994
...Och Bilen Går Bra,0.443,0.646,-8.501,0.0305,0.0453,1.53e-06,0.635,190.602
...So Far! Seine grössten Musicalerfolge bis jetzt,0.424,0.398,-7.369,0.0402,0.729,0.0,0.111,119.543
...When Scars Become Art,0.524,0.114,-17.027,0.0507,0.929,0.0,0.314,119.818
...aynı yer,0.635,0.414,-10.369,0.0322,0.165,2.13e-05,0.692,88.978
...der Charlie,0.614,0.581,-9.625,0.316,0.689,0.0,0.771,137.273
...och stora havet,0.704,0.613,-8.279,0.0249,0.165,0.0,0.584,109.052
...und hier in der Stille  - Klavier Improvisation,0.5703333333333334,0.02384333333333333,-25.61566666666667,0.0823,0.988,0.924,0.1829333333333333,120.384
"...Я клянусь, что это любовь была... Песни Булата Окуджавы",0.49433333333333335,0.16966666666666666,-13.999333333333333,0.044733333333333326,0.8953333333333333,0.0002801,0.23933333333333331,130.50766666666667
.155,0.697,0.767,-6.196,0.451,0.271,0.0,0.843,100.392
.5: The Gray Chapter,0.398,0.939,-2.865,0.0648,0.00591,0.000881,0.235,92.027
.wav,0.72,0.664,-7.278,0.105,0.00435,0.00252,0.268,99.958
0,0.5489999999999999,0.479575,-10.027249999999999,0.11499999999999999,0.70775,0.3022754825,0.29875,120.64675
000$,0.841,0.494,-8.907,0.306,0.575,2.57e-06,0.214,119.984
00020225,0.588,0.559,-4.849,0.0272,0.128,0.0,0.278,123.845
00050525 Live in Roswell,0.288,0.979,-5.42,0.105,0.00208,1.91e-05,0.357,159.302
001,0.878,0.796,-15.028,0.0416,0.0758,0.952,0.154,125.637
003,0.799,0.95,-9.907,0.042,0.000761,0.951,0.8,120.026
004,0.808,0.316,-25.431,0.114,0.0154,0.902,0.661,119.995
00s Party Mixtape,0.741,0.76,-9.212,0.0559,0.00226,0.00151,0.924,128.987
01 * 777 *,0.736,0.649,-4.119,0.107,0.517,0.0,0.803,114.422
01000001 01011010 01010010 01000001 00001010,0.662,0.525,-11.275,0.167,0.0216,0.0347,0.395,125.175
01953,0.6865,0.8594999999999999,-5.0035,0.0536,0.3875,0.000191,0.5295,142.5865
029,0.713,0.964,-8.399,0.0413,7.1e-05,0.683,0.146,132.994
08-13,0.7204999999999999,0.7475,-8.8985,0.2005,0.1805,0.0,0.541,89.9675
092,0.4025,0.9239999999999999,-3.2795,0.0684,0.07469999999999999,0.000159685,0.378,166.99450000000002
1,0.5360714285714285,0.6968809523809524,-6.514047619047618,0.03850714285714286,0.2973202380952381,0.017311555714285717,0.7433333333333333,121.32321428571429
1 Am. Study Session,0.7745,0.36475,-11.37975,0.104075,0.5705,0.821,0.19874999999999998,117.068
1 BuduChop,0.892,0.592,-8.429,0.255,0.352,0.0,0.17,100.055
1 Day 2 Nights,0.747,0.749,-6.337,0.0558,0.0798,1.79e-06,0.914,121.964
1 Finger in the Air,0.641,0.394,-9.297,0.0681,0.000109,0.00181,0.63,130.909
1 Gabber Family,0.785,0.977,-2.325,0.266,0.0422,1.56e-06,0.475,100.054
1 Law,0.555,0.581,-9.111,0.488,0.292,0.0,0.544,62.402
1 Mayıs - Durduramayacaklar Halkın Coşkun Akan Selini,0.463,0.449,-16.716,0.101,0.921,0.121,0.504,145.982
1 Militant,0.677,0.752,-6.639,0.154,0.222,0.0,0.271,99.995
"1 Por Amor, 2 Por Dinheiro",0.788,0.598,-3.959,0.122,0.184,0.0,0.907,179.999
1 Step Ahead,0.639,0.435,-11.968,0.0873,0.862,0.866,0.342,80.375
1 Team,0.361,0.741,-5.015,0.115,0.133,0.0,0.123,82.788
1 Trait Bangers,0.693,0.679,-5.452,0.43,0.0727,0.0,0.693,159.9
1 Şişe Aşk,0.778,0.671,-6.495,0.0439,0.0499,0.0,0.687,121.942
1+1=1,0.855,0.87,-2.059,0.0826,0.0122,0.000675,0.863,103.028
"1, 2, 3",0.7920000000000001,0.895,-3.112,0.0589,0.165,0.0,0.794,94.968
"1,000,000 TIMES",0.252,0.987,-2.993,0.305,0.00382,0.0,0.236,199.874
"1,2,3 ¡Detente!",0.546,0.265,-19.949,0.0269,0.375,4.15e-06,0.597,93.68
1-800 Vindication,0.528,0.976,-5.51,0.124,0.000172,0.656,0.222,100.001
1-800-273-8255,0.593,0.799,-6.098,0.0317,0.00335,0.0157,0.355,99.975
1/1,0.415,0.943,-2.531,0.0662,0.007,0.0,0.555,91.456
10,0.7832222222222223,0.7231111111111111,-4.468,0.18499999999999997,0.08433333333333333,1.0444444444444445e-05,0.6553333333333333,103.4541111111111
10 + Downloaded,0.385,0.903,-5.848,0.106,0.000168,0.0015,0.428,164.076
