album_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo
Fashionably Late,0.547,0.954,-2.6615,0.10880000000000001,0.03375,0.0,0.6699999999999999,160.019
Fasl E Gul,0.645,0.781,-4.936,0.0649,0.0269,2.09e-05,0.25,110.95
Fassade,0.402,0.539,-7.123,0.0297,0.000576,0.143,0.104,129.989
Fast & Furious 6,0.617,0.991,-3.26,0.13,0.0157,0.856,0.289,117.006
Fast & Furious 8: The Album,0.6216666666666666,0.9039999999999999,-2.326333333333333,0.12,0.020633333333333333,6.077e-05,0.533,93.973
Fast & Furious 9: The Fast Saga,0.661,0.954,-1.866,0.128,0.0519,0.000667,0.332,141.911
Fast & Furious Presents: Hobbs & Shaw,0.313,0.571,-5.607,0.0352,0.0306,0.0,0.163,137.109
Fast Car,0.765,0.561,-8.946,0.0361,0.0805,0.141,0.147,112.034
Fast Casual,0.7989999999999999,0.618,-12.376999999999999,0.1043,0.054099999999999995,0.000505,0.7955,135.041
Fast Five,0.701,0.896,-6.459,0.0814,0.0866,0.0,0.896,130.067
Fast Forward,0.866,0.285,-17.907,0.177,0.0159,0.0212,0.466,119.968
Fast Life,0.5925,0.8385,-5.3305,0.20450000000000002,0.385,0.297,0.32439999999999997,165.0635
Fast Running Music,0.46,0.863,-3.259,0.13,0.000524,0.28,0.341,173.004
Fast Steppin',0.724,0.787,-6.79,0.041,0.00419,0.0276,0.846,118.0
Fast Trains And Telegraph Wires,0.439,0.675,-7.375,0.0311,2.19e-05,0.0526,0.379,133.926
Faster 'n Further,0.545,0.988,-5.053,0.165,0.0293,0.225,0.268,149.977
Faster Action,0.411,0.918,-6.479,0.0477,0.00822,6.68e-05,0.673,156.836
Faster Than the Fucking Devil,0.493,0.937,-6.66,0.0592,0.00381,0.283,0.345,105.033
Faster Than the Speed of Night,0.439,0.512,-12.871,0.0514,0.348,0.0,0.197,131.351
Fatal Fantassy 3,0.841,0.728,-5.789,0.0463,0.156,8.34e-05,0.703,100.002
Fate,0.623,0.8,-5.532,0.0373,0.0903,0.859,0.367,128.026
Fate EP,0.7575,0.8835,-6.528499999999999,0.07139999999999999,0.039685000000000005,0.7495,0.5655,125.517
Fate of Norns,0.506,0.967,-2.973,0.0451,6.59e-05,0.41,0.488,129.704
Fate of a Dreamer,0.509,0.604,-8.47,0.0332,0.0161,0.000589,0.322,128.039
Father's Day 2020,0.415,0.533,-8.445,0.0308,0.0037,0.000732,0.126,138.929
Fato Consumado / Quem Muito Quer Nada Tem,0.421,0.734,-5.259,0.0475,0.579,0.0,0.711,76.937
Fats Domino Swings,0.489,0.499,-9.702,0.0271,0.74,0.000236,0.829,133.341
Fatta Eld,0.843,0.715,-7.518,0.193,0.154,0.0,0.951,155.972
Fatteshikast,0.609,0.728,-6.389,0.06,0.252,1.18e-05,0.657,172.995
Fattig Bonddräng,0.734,0.384,-12.986,0.338,0.261,0.0,0.752,167.943
Fatty Boom Boom,0.928,0.751,-4.99,0.159,0.181,0.0,0.114,115.887
Favela,0.688,0.669,-7.368,0.117,0.432,0.0,0.501,132.118
Favela Vive,0.743,0.471,-11.865,0.443,0.693,0.0,0.463,78.127
Favela Vive 2,0.713,0.568,-4.08,0.128,0.0545,8.15e-06,0.668,105.694
Favela Vive 4,0.498,0.498,-8.809,0.424,0.42,0.0,0.367,76.093
Favelado Chique,0.583,0.635,-6.033,0.0393,0.0327,0.0,0.236,119.942
Favorite,0.833,0.639,-3.825,0.0881,0.0392,4.24e-05,0.653,146.996
Favorite Baby Lullabies for Music Box Piano,0.356,0.0181,-20.545,0.0454,0.995,0.943,0.286,138.115
"Favorite Holiday, Vol. 1",0.661,0.4355,-11.3885,0.0282,0.5685,0.177,0.383,105.9975
Favorite Peeps,0.611,0.525,-9.683,0.0354,0.767,0.799,0.299,113.946
Favorite Songs From Barbie,0.624,0.681,-7.62,0.0504,0.0022,5.1e-05,0.613,158.088
Favorite Songs from Phineas and Ferb - The Maximum Collection,0.851,0.749,-6.43,0.205,0.611,2.65e-05,0.91,102.045
Favorite Spanish Dishes,0.432,0.16,-20.509,0.0353,0.628,4.91e-06,0.267,124.473
Favorite T-Shirt,0.82,0.26,-14.473,0.0759,0.757,0.0,0.641,114.943
Favorito,0.74,0.865,-2.641,0.0633,0.185,1.19e-06,0.243,91.946
Favourite Ballet,0.512,0.0181,-30.054,0.0563,0.881,5.78e-05,0.252,137.927
Favourite Children's Songs,0.509,0.166,-17.021,0.05,0.931,0.412,0.657,130.217
Favourite Things,0.528,0.468,-8.286,0.133,0.264,0.0,0.241,119.937
Favourite Things: Songs and Nursery Rhymes from Play School,0.727,0.2965,-11.2665,0.08995,0.7415,0.0,0.6605,111.172
Favourite Worst Nightmare,0.5366,0.8620666666666666,-5.2728,0.06323333333333334,0.0011307666666666668,0.007404068000000001,0.5848666666666666,138.14453333333333
Faya,0.625,0.903,-4.776,0.0955,0.0013,0.161,0.0456,140.035
Faz Assim,0.466,0.303,-8.247,0.0377,0.867,0.0,0.528,148.747
Faz Chover,0.412,0.7693333333333333,-4.5343333333333335,0.052700000000000004,0.6880000000000001,0.0,0.286,133.11133333333333
Faz Render,0.506,0.478,-7.251,0.306,0.123,0.0,0.265,173.427
Faz no Vinte e Dois o Que Não Fez no Vinte e Um,0.803,0.721,-3.051,0.34,0.66,1.02e-06,0.682,86.571
Faze #05: Alle Farben,0.811,0.518,-10.587,0.0636,0.00685,0.831,0.83,125.023
Fazenda do Papai,0.674,0.907,-5.472,0.0448,0.618,0.0,0.947,167.941
Fazendinha de Madeira,0.65,0.734,-6.286,0.0527,0.761,0.0,0.636,129.864
Fazendo Amor,0.68,0.741,-6.152,0.268,0.319,0.0,0.552,96.962
Fazendo a Festa,0.669,0.559,-10.347,0.046,0.489,0.0,0.845,158.003
Faça Diferença,0.539,0.6074999999999999,-6.9345,0.04555,0.585,0.0,0.442,110.947
Fear,0.31866666666666665,0.7776666666666667,-5.4736666666666665,0.16133333333333333,0.2335413333333333,0.6013633333333334,0.20299999999999999,156.71666666666667
Fear & Trust,0.661,0.358,-16.862,0.0786,0.899,0.873,0.348,145.921
Fear Inoculum,0.415,0.53,-9.338,0.0314,0.00209,0.75,0.0586,114.174
Fear Is the New Bliss,0.28,0.986,-4.282,0.213,0.00563,0.0393,0.156,167.815
Fear My Touch,0.682,0.903,-4.577,0.386,0.432,0.000158,0.242,140.015
Fear No Evil,0.41100000000000003,0.6875,-5.8255,0.0457,0.1264,0.1315,0.2965,128.34199999999998
Fear Not,0.402,0.974,-3.478,0.0463,0.0681,0.922,0.0386,173.997
Fear Of Fours,0.41,0.624,-8.487,0.0448,0.29,2.79e-05,0.184,110.918
Fear Of The Dawn,0.375,0.71,-8.665,0.267,0.000867,0.00628,0.559,97.335
Fear of Falling Asleep,0.674,0.855,-6.783,0.336,0.781,0.00299,0.77,75.022
Fear of Missing Out,0.472,0.953,-4.5696666666666665,0.0635,3.3033333333333334e-05,4.933333333333333e-07,0.614,156.83366666666666
Fear of a Blind Planet,0.731,0.796,-8.013,0.0714,0.0272,0.645,0.244,81.52
Fear of a Welsh Planet,0.805,0.696,-9.554,0.134,0.0266,2.72e-06,0.691,110.644
Fear of the Dark,0.316,0.7665,-5.522,0.04554999999999999,0.0031795,0.0007228,0.25849999999999995,126.16399999999999
"Fear, Emptiness, Despair",0.24619999999999997,0.9596,-8.132,0.08915999999999999,3.578e-06,0.33882,0.20084,108.27080000000001
Fearless,0.6709999999999999,0.6044444444444445,-6.736999999999999,0.1822777777777778,0.2986877777777778,1.0933333333333334e-05,0.43733333333333335,103.82466666666667
Fearless II,0.7306666666666667,0.57,-7.7156666666666665,0.0759,0.15286666666666668,0.0,0.33433333333333337,122.09000000000002
Feather River Canyon Blues,0.44,0.947,-3.115,0.0652,0.0477,9.95e-06,0.892,185.147
Feathers,0.28,0.0485,-28.995,0.0385,0.995,0.933,0.273,147.162
Featuring Ty Dolla $ign,0.8,0.554,-5.836,0.07745,0.10014999999999999,6.6e-07,0.2245,105.52250000000001
Featurings,0.787,0.778,-8.014,0.279,0.519,0.0,0.859,83.034
February,0.31,0.206,-11.295,0.0478,0.908,1.65e-05,0.123,174.785
Feche Os Olhos,0.657,0.749,-5.346,0.103,0.0031,0.645,0.109,139.982
Fed Through The Teeth Machine,0.36175,0.98325,-4.42275,0.16875,8.086749999999999e-05,0.2382875,0.2293,100.621
Feed My Hunger,0.747,0.926,-7.742,0.0532,0.00442,0.00213,0.856,128.994
Feed the Family,0.511,0.6626666666666666,-5.353333333333334,0.06426666666666667,0.46399999999999997,0.0,0.572,92.22233333333334
Feeding Seahorses by Hand,0.5901666666666666,0.17071666666666666,-16.681833333333334,0.04276666666666667,0.7515000000000001,0.0013724333333333333,0.2675,126.573
Feeding The Wolves,0.44166666666666665,0.82,-4.142333333333333,0.045033333333333335,0.008356666666666667,5.233333333333333e-07,0.3066666666666667,158.655
Feel,0.296,0.71,-4.564,0.0317,0.000949,0.348,0.1,74.987
Feel  [Radio Edit],0.731,0.756,-4.937,0.0436,0.038,0.162,0.723,121.004
Feel Again,0.585,0.942,-5.294,0.0427,0.0213,0.199,0.241,120.037
Feel Again feat. Harley Bird,0.728,0.588,-9.621,0.0464,0.0933,3.7e-06,0.326,125.02
"Feel Again, Pt. 1",0.63575,0.88875,-4.60475,0.05085,0.0251525,8.8e-05,0.275625,122.74225
"Feel Again, Pt. 2",0.5855238095238094,0.8639047619047618,-5.286333333333333,0.062261904761904754,0.01933847619047619,0.12440101666666667,0.36414761904761905,127.62719047619046
Feel Alive,0.5773333333333334,0.8653333333333334,-4.721,0.04646666666666666,0.04725010000000001,0.22700333333333333,0.35000000000000003,134.01
Feel Bad Songs,0.427,0.915,-6.563,0.101,0.00165,0.525,0.482,172.938
Feel Good,0.6481666666666667,0.7679999999999999,-4.4895000000000005,0.048383333333333334,0.1991666666666667,0.34800000000000003,0.41133333333333333,123.00850000000001
Feel Good Music,0.623,0.8555,-4.125333333333333,0.0598,0.13496,0.0013204,0.7666666666666666,87.4705
Feel Good Saturday,0.706,0.842,-8.506,0.0404,0.0439,0.015,0.768,120.46
Feel Inside,0.549,0.921,-1.185,0.0636,0.00734,7.37e-05,0.261,149.955
Feel It,0.674,0.6829999999999999,-6.153666666666666,0.09653333333333335,0.1756,0.5550011466666667,0.4976666666666667,103.55033333333334
Feel It / Circus Act,0.8075000000000001,0.87,-7.5265,0.06955,0.00077235,0.6915,0.6375,126.0
Feel It Too,0.71,0.839,-6.57,0.072,0.00465,1.67e-06,0.604,124.007
Feel It!,0.459,0.941,-2.053,0.0777,0.0191,0.0,0.399,155.023
Feel Like,0.593,0.599,-8.253,0.308,0.0576,6.71e-06,0.598,114.078
Feel Like God,0.819,0.35,-10.433,0.062,0.0585,0.243,0.118,121.966
Feel Like Jumpin,0.498,0.737,-6.655,0.0435,5.12e-05,0.767,0.342,219.693
Feel My Love,0.562,0.868,-4.402,0.0644,0.024,1.55e-05,0.472,124.979
Feel My Love [feat. Moni Gopal],0.552,0.35,-7.607,0.0245,0.799,0.0,0.237,92.567
Feel My Needs,0.707,0.896,-5.157,0.0538,0.0127,0.859,0.903,122.011
Feel Right,0.588,0.773,-8.299,0.0373,0.00744,0.00098,0.189,126.055
Feel So Close,0.7,0.923,-2.85,0.0324,0.000927,0.00826,0.904,127.952
Feel So Good,0.827,0.64,-9.778,0.236,0.207,0.0,0.533,105.144
Feel So High,0.6389999999999999,0.7586666666666666,-10.852333333333334,0.32489999999999997,0.5403333333333333,0.0028866666666666663,0.6043333333333333,104.444
Feel Something,0.5770000000000001,0.749,-5.6142,0.07656,0.073572,0.00150916,0.3892,97.7444
Feel Special,0.708,0.959,-1.338,0.0604,0.0296,0.00188,0.644,128.981
Feel The Bass,0.72,0.906,-7.319,0.0928,0.00648,0.000121,0.669,130.001
Feel The Melody,0.48,0.996,-1.536,0.153,0.00128,0.105,0.464,175.071
Feel The Music,0.7948000000000001,0.796,-8.959,0.10708,0.0036855,0.8408,0.5184,125.67760000000001
Feel The Rhythm EP,0.5880000000000001,0.8545,-6.765000000000001,0.05,0.0029300000000000003,0.5555,0.10785,136.5075
Feel The Same,0.751,0.593,-9.556,0.0593,0.0851,0.0387,0.371,120.989
Feel This Way,0.757,0.405,-13.709,0.117,0.528,0.126,0.0537,124.014
Feel Your Body,0.712,0.765,-5.137,0.0799,0.0363,0.129,0.693,123.999
Feel Your Love,0.587,0.758,-6.3454999999999995,0.041800000000000004,0.0377,0.4925,0.3185,131.53050000000002
Feel so right,0.735,0.92,-3.404,0.0522,0.05,0.0,0.54,97.907
Feel the Beat,0.776,0.924,-7.158,0.0528,0.0321,0.0666,0.314,126.013
Feel the Darkness,0.186,0.995,-4.54,0.168,5.86e-05,0.0286,0.138,168.235
Feel the Funk,0.78,0.734,-11.505,0.0584,0.00308,0.317,0.787,136.026
Feel the Melody,0.479,0.9904999999999999,-2.421,0.253,0.001579,0.2703,0.19965,177.5625
Feel the Weight,0.48,0.907,-3.229,0.0469,0.0518,0.0,0.602,103.043
Feelin Kinda Strange,0.762,0.841,-7.631,0.0927,0.000418,0.781,0.266,134.986
Feelin' Funky,0.831,0.658,-12.597,0.054,0.415,0.0297,0.961,116.698
Feelin' Good,0.7163333333333334,0.3403333333333333,-13.421999999999999,0.08539999999999999,0.5813,0.9209999999999999,0.48566666666666664,86.00099999999999
Feeling,0.649,0.685,-6.996,0.0539,0.0521,0.792,0.138,140.017
Feeling Calm,0.7160000000000001,0.39699999999999996,-9.244333333333334,0.0405,0.7093333333333334,5.066666666666667e-06,0.6243333333333333,102.01433333333334
Feeling Faded,0.733,0.872,-4.032,0.0482,0.0771,0.859,0.488,124.019
Feeling For My Life,0.5983333333333333,0.3303333333333333,-12.383000000000001,0.12516666666666668,0.7713333333333333,6.466666666666667e-06,0.31433333333333335,93.67666666666666
Feeling Good,0.7450294117647058,0.7798529411764706,-4.755441176470589,0.08559705882352941,0.17838323529411765,0.002462852058823529,0.6630882352941176,120.25379411764706
Feeling Good - Adult Pop Favorites,0.5332888888888889,0.4148444444444444,-9.631488888888889,0.04168444444444444,0.5505155555555555,0.0009675297777777777,0.39549999999999996,109.28817777777778
Feeling Great!,0.408,0.879,-4.419,0.0849,7.75e-05,0.0145,0.256,174.052
Feeling Something,0.563,0.696,-6.638,0.0316,0.517,0.186,0.0759,152.01
Feeling This Way,0.52,0.958,-3.674,0.049,8.88e-05,0.561,0.167,150.031
Feeling You,0.644,0.501,-9.374,0.0302,0.664,0.164,0.158,103.988
Feeling of Emptiness,0.657,0.348,-11.913,0.954,0.835,0.0,0.598,92.443
Feeling of Unity,0.175,0.995,1.023,0.211,0.000145,2.5e-06,0.303,184.066
Feelings,0.7085454545454545,0.6728181818181818,-6.970272727272728,0.09136363636363636,0.24288636363636362,0.10904262363636362,0.43318181818181817,112.83163636363635
Feelings Undercover,0.728,0.845,-5.279,0.0317,0.317,0.00364,0.539,120.006
Feelings You Cannot Hide,0.579,0.219,-15.917,0.0593,0.981,0.875,0.346,110.218
Feels,0.832,0.722,-4.234333333333333,0.04933333333333333,0.07926666666666667,0.0,0.6107666666666667,98.00533333333333
Feels In My Body,0.653,0.869,-3.907,0.0583,0.0372,8.73e-05,0.83,122.047
Feels Like Home,0.5577,0.45136000000000004,-10.1316,0.04944,0.5478259999999999,0.020418022,0.35585,128.9955
Feels Like Love,0.728,0.657,-5.329,0.042,0.0696,3.41e-06,0.772,122.079
Feels Like Paradise,0.756,0.405,-13.438,0.118,0.811,0.167,0.169,115.013
Feels Like Rain,0.572,0.348,-13.454,0.0294,0.44,0.000721,0.34,73.304
Feels Like The First Time,0.445,0.554,-7.793,0.0315,0.231,0.0,0.229,162.081
Feels Like You,0.848,0.352,-6.798,0.0464,0.789,0.000105,0.571,92.991
Feels Like a Dream,0.538,0.688,-4.254,0.0329,0.114,1.18e-06,0.19,92.059
Feels Right,0.447,0.948,-2.503,0.307,0.053,8.68e-05,0.677,89.928
Feet Don't Fail Me Now,0.662,0.84,-3.112,0.0509,0.17,0.000226,0.568,112.914
Feet First,0.559,0.835,-7.858,0.0373,0.215,5.14e-06,0.935,168.613
Fegefeuer,0.516,0.92,-3.986,0.0604,0.000373,7.98e-06,0.406,79.996
Fehler Im System,0.722,0.5695,-9.339500000000001,0.0796,0.0795,0.043800000000000006,0.6665,171.5605
Feieralarm,0.561,0.834,-4.768,0.038,0.0234,0.0,0.292,142.036
Feiern Bis Der Arzt Kommt,0.611,0.79,-8.015,0.0298,0.00208,4.98e-06,0.838,140.966
Feinde deiner Feinde,0.49733333333333335,0.9579999999999999,-3.76,0.28336666666666666,0.045783333333333336,0.0,0.32266666666666666,143.33533333333332
Feindflug,0.594,0.999,-0.527,0.0929,0.00654,0.932,0.111,139.904
Feitiço,0.869,0.797,-4.455,0.0318,0.414,0.0,0.973,121.996
Feito Pra Durar,0.619,0.593,-6.449,0.033,0.794,0.0,0.513,136.01
Feito Pra Você,0.545,0.509,-17.214,0.0517,0.384,8.86e-06,0.963,153.721
Felices Pascuas,0.6446666666666667,0.7210000000000001,-7.996666666666667,0.08066666666666666,0.7576666666666667,0.001209,0.9333333333333332,108.597
Felicidade,0.799,0.603,-11.2,0.0563,0.000202,0.816,0.152,127.004
Felicilandia,0.706,0.739,-3.753,0.0586,0.266,2.62e-05,0.371,91.906
Feline/Aural Sculpture/Dreamtime,0.638,0.814,-8.802,0.031199999999999995,0.149,0.7600000000000001,0.773,128.723
Feliz,0.848,0.852,-2.158,0.103,0.373,0.0323,0.956,129.995
Feliz Cumpleaños Ferxxo,0.87,0.55,-5.537,0.0722,0.102,0.0,0.566,95.019
Feliz Cumpleaños con Perreo,0.7652010869565217,0.7389782608695653,-4.947152173913043,0.11644184782608695,0.13091217391304347,0.0023328898369565218,0.6443532608695651,120.1117608695652
Feliz Navidad,0.627,0.762,-8.224,0.037,0.0195,0.0,0.898,82.447
Feliz Y Dichoso,0.611,0.686,-6.471,0.0548,0.596,5.84e-05,0.9,115.477
Feliz da Vida!,0.437,0.607,-3.562,0.0308,0.323,0.0,0.36,95.836
Feliz día Papá,0.729,0.894,-4.054,0.0797,0.0612,0.0,0.757,101.053
Fell Too Far,0.761,0.654,-7.326,0.214,0.0908,0.0,0.469,145.063
Fellini,0.805,0.746,-5.211,0.185,0.238,0.0,0.717,127.922
Felons and Revolutionaries,0.594,0.8825000000000001,-4.7715,0.0465,6.775e-05,0.30350358,0.7749999999999999,134.54899999999998
Felony,0.21,0.964,-6.078,0.193,2.92e-05,0.0368,0.136,158.308
Femina Ganja,0.778,0.595,-9.036,0.24,0.000854,0.000493,0.811,160.025
Femme Fatale,0.696,0.734,-5.294,0.0298,0.0485,0.0,0.711,107.987
Fences,0.698,0.81,-5.032,0.0367,0.426,0.0,0.678,109.055
Fenêtre Sur Rue,0.779,0.7893333333333334,-7.694666666666667,0.5063333333333333,0.26766666666666666,0.0,0.4243333333333333,93.327
Fenêtres,0.632,0.755,-6.8345,0.035949999999999996,0.2275,5.55e-06,0.697,133.047
"Feo, Fuerte y Formal",0.716,0.879,-6.179,0.0349,0.0454,0.0,0.905,126.368
Feral Pop Frenzy,0.536,0.693,-13.96,0.0413,0.0138,0.000439,0.798,142.982
Ferdinand the Bull and Friends,0.5975,0.11918333333333332,-20.37033333333333,0.10335,0.9646666666666667,0.0265215,0.4395,103.76433333333334
Fern.,0.393,0.425,-8.475,0.0445,0.426,1.99e-06,0.227,95.142
Fernanda Brum - Gospel Collection Ao Vivo,0.333,0.565,-7.938,0.0367,0.529,0.000149,0.325,146.113
Fernanda Brum Reunion no Sintonize - EP 2,0.382,0.178,-13.43,0.0315,0.838,0.000563,0.304,161.586
Fernandinho Em Casa,0.449,0.723,-5.522,0.06235,0.021365000000000002,7e-06,0.33799999999999997,147.435
Fernando Corona,0.652,0.449,-4.598,0.0355,0.749,0.0,0.758,145.937
Fernet Underground,0.562,0.974,-2.759,0.083,0.0267,0.0,0.624,144.871
Fernweh,0.548,0.0988,-18.816,0.0714,0.994,0.94,0.231,147.367
Ferox,0.361,0.8116666666666666,-5.650333333333333,0.05473333333333333,0.00012738333333333333,0.7353333333333333,0.22466666666666665,138.31033333333332
Ferrari,0.8105,0.75275,-6.77475,0.053425,0.03299,0.06303,0.66875,124.98475
Ferro Velho,0.7484999999999999,0.8009999999999999,-6.0169999999999995,0.10980000000000001,0.20785,0.558,0.6415,113.9765
Ferrugem em Casa 2  [Ao Vivo],0.568764705882353,0.7710588235294118,-6.423705882352941,0.09048235294117647,0.5254117647058824,0.0,0.7901764705882353,118.9814705882353
Ferry Cross The Mersey [Mono And Stereo Version],0.396,0.286,-11.494,0.0283,0.548,8.51e-06,0.605,105.289
Fervor / Lost & Found,0.3155,0.983,-3.334,0.14049999999999999,0.008985,0.005502,0.40149999999999997,173.5775
Fest hos Errol,0.526,0.901,-5.882,0.181,0.0409,0.0,0.786,92.465
Festa Boa,0.679,0.62,-8.267,0.0297,0.691,0.0,0.792,88.625
Festa de Crente - Ao Vivo,0.42800000000000005,0.9255,-5.300000000000001,0.182,0.4205,0.0,0.714,175.436
Festa de Maloka,0.641,0.565,-7.072,0.308,0.139,0.0,0.544,119.518
Festimad '03,0.565,0.833,-5.509,0.0353,0.0211,2.71e-05,0.332,114.011
Festivalero,0.7115,0.915,-3.3579999999999997,0.16,0.353,0.0,0.9045,98.037
Festzelt Musik 2022,0.442,0.922,-2.918,0.0695,0.00134,0.0,0.388,140.082
Fetch The Bolt Cutters,0.528,0.504,-8.821,0.09,0.559,0.0414,0.712,141.369
Fetish,0.708,0.618,-4.424,0.0592,0.0204,6.81e-06,0.265,123.013
Fetish for the Sick / Live in Germany,0.258,0.97,-5.546,0.196,0.000324,0.883,0.432,94.51
Fetty Wap,0.6974999999999999,0.7671666666666667,-4.346666666666667,0.13158333333333333,0.012546666666666666,2.6741666666666668e-06,0.561,130.30658333333335
Feuer,0.41,0.618,-8.491,0.0439,0.0042,0.000592,0.267,100.035
Feuerfalter Part 02,0.88,0.47700000000000004,-10.946999999999997,0.0732,0.00143,0.627,0.209,125.017
Feuerfalter Special Edition,0.843,0.5625714285714286,-10.664714285714284,0.07567142857142857,0.0042364285714285715,0.7625714285714286,0.31542857142857145,125.00814285714286
Fever,0.5506153846153846,0.8034615384615384,-5.565153846153847,0.07251538461538462,0.09731885384615385,0.061438613076923075,0.33338461538461533,129.29830769230767
Fever Dream,0.48266666666666674,0.644,-7.3020000000000005,0.04776666666666666,0.1489946666666667,0.0,0.18800000000000003,123.06466666666667
Fever Dreams,0.45933333333333337,0.37399999999999994,-11.427666666666667,0.029566666666666668,0.8210000000000001,0.050133333333333335,0.08753333333333334,106.71666666666665
Few Days,0.797,0.627,-7.095,0.145,0.0143,0.0,0.526,92.017
FiXT Presents: Sinister Sounds,0.48560000000000003,0.7250666666666666,-6.287999999999999,0.04975333333333334,0.018979873333333334,0.555747294,0.16618666666666668,139.22966666666667
Fibonacci,0.685,0.781,-6.786,0.0326,0.0878,0.824,0.065,122.015
"Fica Comigo, Paulinha, Vol. 17",0.517,0.9330000000000002,-3.988,0.0678,0.222,2.51e-06,0.63,180.11
Fiction,0.6359999999999999,0.5511999999999999,-8.3826,0.045099999999999994,0.3646256,0.04101866,0.3926,136.1608
Fictions,0.646,0.4526666666666666,-10.772333333333334,0.043899999999999995,0.3529333333333333,0.762,0.5386666666666666,117.19266666666668
Fiddler on the Roof,0.43799999999999994,0.28425,-9.95425,0.2985,0.8325,0.00033755,0.26797499999999996,106.68775000000001
Fidelidade,0.423,0.66,-5.806,0.0367,0.831,0.0,0.201,152.022
Fiebre,0.7506,0.5681999999999999,-11.098400000000002,0.0854,0.0098208,8.399999999999999e-07,0.8552,102.8498
Fiebre Santanera,0.91,0.593,-5.491,0.0439,0.663,0.00804,0.899,126.009
Fields,0.39,0.128,-28.989,0.0356,0.976,0.854,0.348,79.297
Fields Of Gold,0.59,0.154,-14.056,0.0736,0.977,0.923,0.295,175.735
Fields Without Fences,0.982,0.478,-7.658,0.202,0.118,0.74,0.567,122.007
Fieras Lunaticas,0.67,0.896,-6.069,0.057,0.38199999999999995,0.0201,0.787,115.40000000000002
Fierce,0.518,0.797,-6.116,0.0418,0.000906,0.0,0.607,157.913
Fierce Angel Presents the Collection IV,0.702,0.611,-8.883,0.0334,0.000385,0.746,0.214,118.004
Fierrro,0.682,0.807,-6.821,0.0331,0.0117,0.0954,0.365,94.02
Fierrín,0.62,0.606,-8.259,0.0443,0.494,0.000332,0.681,94.067
Fiery Sky,0.86,0.456,-8.983,0.047,0.234,0.471,0.386,109.991
Fiesta,0.3302,0.933,-6.7463999999999995,0.0561,3.3944e-05,0.00039562,0.7798,83.79499999999999
Fiesta Boricua,0.633,0.59,-7.867,0.0713,0.348,0.0,0.949,103.129
Fiesta De Navidad Con Tatiana,0.751,0.87,-4.757,0.0285,0.25,0.0,0.783,104.493
Fiesta De Soneros,0.621,0.618,-6.575,0.041,0.676,0.234,0.962,95.057
Fiesta Monstruo,0.681,0.73,-10.693,0.255,0.329,4.14e-06,0.807,140.136
Fiesta Nacional,0.62975,0.8485,-6.75825,0.103575,0.13902499999999998,3.8769999999999996e-05,0.69025,115.2585
Fiesta Paraguaya,0.636,0.8195,-6.288,0.1655,0.1635,0.0,0.662,114.3475
Fiesta Primate,0.483,0.8200000000000001,-4.316,0.0734,0.00156,1.665e-05,0.788,163.4325
Fiesta Reggaeton 2010s,0.7275909090909091,0.744969696969697,-4.436560606060606,0.1092439393939394,0.1901393939393939,0.010859506969696968,0.6986666666666667,120.99715151515151
Fiesta Riddim,0.739,0.676,-8.288,0.116,0.318,5.47e-06,0.938,93.97
Fiesta Rocker,0.593,0.619,-6.176,0.0497,0.818,0.0,0.72,134.614
Fiesta de disfraces vol. II,0.641774193548387,0.7935483870967742,-4.800806451612903,0.06011612903225807,0.0733190322580645,0.005589675806451613,0.46183870967741936,125.65625806451614
Fiesta portatil,0.7464727272727272,0.7421,-5.285445454545455,0.08402,0.13213165454545456,0.03653115418181818,0.5691872727272728,113.88505454545454
Fiesta temática 60s,0.454,0.5422166666666667,-9.365516666666668,0.038281666666666665,0.2969286666666667,0.008375249333333334,0.59605,104.9988
Fiesta temática 70s,0.5398536585365854,0.6771219512195122,-7.5558048780487805,0.05401463414634146,0.281859756097561,0.011272956097560976,0.7412926829268293,121.402
Fiesta temática 80s,0.5971379310344828,0.6900137931034483,-9.963103448275863,0.051627586206896545,0.2543844827586207,0.13354564551724138,0.6558827586206897,121.7166551724138
Fiesta temática 90s,0.4302,0.8196444444444444,-5.925622222222223,0.058986666666666666,0.1308010666666667,0.0012214673333333333,0.48417777777777776,117.3288888888889
Fifi,0.699,0.468,-11.757,0.0384,0.186,0.956,0.243,74.987
Fifteen Years Of Hospital,0.516,0.985,-1.895,0.178,0.028,0.000874,0.429,177.983
Fifth Dimension,0.194,0.948,-6.784,0.0641,0.000518,0.735,0.375,185.063
Fifty Shades Darker,0.37825,0.399,-8.56475,0.037425,0.2805,0.05756725,0.2075,137.49175
Fifty Shades Freed,0.5801000000000001,0.59455,-6.2747,0.087005,0.226088,6.7235e-06,0.45427999999999996,130.72265
Fifty Shades Of Grey,0.4441111111111111,0.48666666666666664,-7.283222222222221,0.04357777777777778,0.3427777777777778,0.04644502,0.2803333333333333,158.46322222222224
Figan,0.619,0.318,-11.953,0.0384,0.839,8.75e-06,0.627,140.725
Fight,0.512,0.868,-5.274,0.04,0.000194,0.000321,0.406,149.892
Fight As One,0.406,0.884,-5.939,0.112,5.34e-05,0.0224,0.0403,153.124
Fight Club,0.538,0.4164,-14.032,0.09082,0.103074,0.7076,0.28813999999999995,132.8406
Fight Fire With Fire,0.515,0.851,-3.353,0.062,0.0608,0.0,0.274,155.022
